TOPICO,csv,problema
SEBACO,22_participacion_expo_sbc.csv,"dataset tiene el codigo 'CHT' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
SEBACO,22_participacion_expo_sbc.csv,"dataset tiene el codigo 'ROM' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
SEBACO,23_participacion_expo_ssi.csv,"dataset tiene el codigo 'ROM' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
COMEXT,composicion_importaciones_bienes_sectores_Brambilla_Porto.csv,"dataset tiene el codigo 'S19' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
COMEXT,composicion_exportaciones_bienes_sectores_Brambilla_Porto.csv,"dataset tiene el codigo 'S19' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,capacidad_instalada_eolica_gw.csv,"dataset tiene el codigo 'OWID_KOS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,capacidad_instalada_eolica_gw.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,capacidad_instalada_fv_gw.csv,"dataset tiene el codigo 'OWID_KOS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,capacidad_instalada_fv_gw.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,generacion_hidro_twh.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,generacion_hidro_twh.csv,"dataset tiene el codigo 'OWID_KOS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,generacion_nuclear_twh.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,generacion_nuclear_twh.csv,"dataset tiene el codigo 'OWID_KOS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,matriz_prim_mundo_historic.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,energia_baja_carbono.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,intensidad_carbono_electri_mundo.csv,"dataset tiene el codigo 'OWID_KOS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,intensidad_carbono_electri_mundo.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_KOS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_CZS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_YGS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_ERE' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_GFR' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
